Week Number,Team,Started: Spot,Ended: Spot,Ended: How,drive_top,Date,Site,Temperature,Weather,Scoring Play,scoring_top,scoring_team
11,MER,MER15,MER29,PUNT,03:31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,RMU,RMU38,MER44,PUNT,04:12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,MER,MER11,RMU37,DOWNS,04:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,RMU,RMU37,RMU36,PUNT,00:39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,MER,MER35,RMU21,FG,00:26,11/15/2025,"Erie, Pennsylvania",51.0,Cloudy,"MER - Young,Max 38 yd field goal 3 plays, 44 yards, TOP 00:26",00:26,MER
11,RMU,RMU34,MER28,FG,02:59,11/15/2025,"Erie, Pennsylvania",51.0,Cloudy,"RMU - Jenkins,Jayson 45 yd field goal 7 plays, 38 yards, TOP 02:59",02:59,RMU
11,MER,MER25,MER19,PUNT,02:25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,RMU,MER47,MER5,FG,03:45,11/15/2025,"Erie, Pennsylvania",51.0,Cloudy,"RMU - Jenkins,Jayson 23 yd field goal 9 plays, 42 yards, TOP 03:45",03:45,RMU
11,MER,MER25,RMU0,TD,01:23,11/15/2025,"Erie, Pennsylvania",51.0,Cloudy,"MER - Trobel,Brian 53 yd run (Young,Max kick), 3 plays, 75 yards, TOP 01:23",01:23,MER
11,RMU,RMU28,RMU43,FUMB,01:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,MER,RMU43,RMU0,TD,02:42,11/15/2025,"Erie, Pennsylvania",51.0,Cloudy,"MER - Trobel,Brian 1 yd run (Young,Max kick), 5 plays, 43 yards, TOP 02:42",02:42,MER
11,RMU,RMU50,MER0,TD,05:48,11/15/2025,"Erie, Pennsylvania",51.0,Cloudy,"RMU - Shine,Ethan 14 yd run (Jenkins,Jayson kick), 9 plays, 50 yards, TOP 05:48",05:48,RMU
11,MER,MER13,RMU0,TD,03:34,11/15/2025,"Erie, Pennsylvania",51.0,Cloudy,"MER - Lewis,Camden 7 yd pass from Urena,Adam (Young,Max kick) 6 plays, 87 yards, TOP 03:34",03:34,MER
11,RMU,RMU25,RMU40,PUNT,01:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,MER,MER20,MER25,PUNT,01:44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,RMU,RMU35,MER29,DOWNS,00:53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,MER,MER29,MER22,HALF,00:56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,MER,MER8,MER30,PUNT,01:39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CCS,MER22,MER0,TD,00:08,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"CCS - Howard,Elijah 22 yd run (Hennessey,Jack kick), 1 plays, 22 yards, TOP 00:08",00:08,CCS
12,MER,MER25,MER44,PUNT,02:47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,MER,CCS5,CCS0,TD,00:05,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"MER - Evans,Dylan 5 yd run (Young,Max kick), 1 plays, 5 yards, TOP 00:05",00:05,MER
12,CCS,CCS29,CCS31,PUNT,01:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,MER,MER34,CCS0,TD,04:44,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"MER - Trobel,Brian 2 yd run (Young,Max kick), 7 plays, 66 yards, TOP 04:44",04:44,MER
12,CCS,CCS28,MER0,TD,03:16,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"CCS - Howard,Elijah 4 yd run (Hennessey,Jack kick), 8 plays, 72 yards, TOP 03:16",03:16,CCS
12,MER,MER18,CCS17,DOWNS,04:37,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"MER - Wright-Rawls,Taylor 11 yd pass from Urena,Adam (Young,Max kick) 8 plays, 69 yards, TOP 04:37",04:37,MER
12,CCS,CCS17,CCS32,PUNT,02:49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,MER,MER19,CCS0,TD,00:50,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"MER - Trobel,Brian 63 yd run (Young,Max kick), 3 plays, 81 yards, TOP 00:50",00:50,MER
12,CCS,CCS22,MER0,TD,05:31,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"CCS - Trovarelli,Michael 15 yd pass from Olson,Brady (Hennessey,Jack kick) 14 plays, 78 yards, TOP 05:31",05:31,CCS
12,MER,MER23,MER36,PUNT,01:05,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CCS,CCS33,MER35,INT,00:40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,MER,CCS24,CCS24,FGA,00:03,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CCS,CCS25,MER0,TD,03:43,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"CCS - Marcus,Donny 17 yd pass from Olson,Brady (Hennessey,Jack kick) 8 plays, 75 yards, TOP 03:43",03:43,CCS
12,MER,MER43,MER41,PUNT,01:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CCS,CCS32,MER31,DOWNS,02:30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,MER,MER31,CCS0,TD,04:37,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"MER - Wright-Rawls,Taylor 11 yd pass from Urena,Adam (Young,Max kick) 8 plays, 69 yards, TOP 04:37",04:37,MER
12,CCS,CCS35,MER50,PUNT,02:49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,MER,MER12,MER12,FUMB,00:09,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CCS,MER12,MER0,TD,02:46,11/22/2025,"New Britain, Connecticut",45.0,Sunny,"CCS - Howard,Elijah 8 yd pass from Olson,Brady (Hennessey,Jack kick) 6 plays, 12 yards, TOP 02:46",02:46,CCS
12,MER,MER16,CCS19,DOWNS,04:59,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CCS,CCS19,MER11,FGA,04:21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,MER,MER20,CCS12,DOWNS,01:31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CCS,CCS12,CCS11,HALF,00:18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
